Переменная|Англ.|Русс.|Перевод
frontend.views.site.downl_cat|, load products catalogues of your suppliers and invite then into MixCart by one click. You can also choose a new supplier. Since now, you can make all your purchases in MixCart.|, загрузите каталоги продуктов своих поставщиков, и пригласите их в MixCart, одним кликом. Вы так же можете выбрать новых поставщиков. С этого момента все ваши закупки вы можете делать в MixCart.|Descărcați cataloagele cu produsele furnizorilor Dvs. și invitații în MixCart, cu un singur clic. De asemenea, puteți alege și furnizori noi. De acum înainte, puteți face orice achiziție în MixCart.
api.modules.v1.modules.mobile.components.notifications.order_no|, order No.|, заказ №|comanda nr.
frontend.views.client.suppliers.set_goods|, specify products that you buy from the supplier|, укажите товары, которые Вы покупаете у поставщика|Specificați produsele, pe care le achiziționați de la furnizor
frontend.views.vendor.zero|0 RUB|0 руб.|0 ruble
frontend.views.request.fifteen_two|15 kg|15 кг|15 kg
frontend.views.site.1c_integr|1C and other software integration |Интеграция с 1С и другими программами.|Integrarea cu 1C și alte programe.
frontend.views.site.two_clicks|2 clicks purchase|Закупка в 2 клика|Achiziționați în 2 clicuri
franchise.views.finance.three|3 months|3 месяцев|3 luni
frontend.views.request.seven_days|7 days|7 дней|7 zile
frontend.views.site.moscow|70 Privolnaya Str., Moscow|Москва, ул.Привольная, 70|Moscova, str. Privolnaea, 70
8-499-404-10-18|8-499-404-10-18|8-499-404-10-18|8-499-404-10-18
frontend.controllers.order.cancelled_order_four|<br/> canceled reduction to the order No.|<br/> отменил скидку на заказ № |<br/> a anulat reducerea la comanda nr.
api.modules.v1.modules.mobile.controllers.|<br/> changed quantity {prod} from {old} {ed} to |<br/> изменил количество {prod} с {old} {ed} на <br/> a modificat cantitatea {prod} din {old} {ed} în |
api.modules.v1.modules.mobile.controllers.prod|<br/> deleted {prod} from the order|<br/> удалил {prod} из заказа|<br/> a șters {prod} din comandă
frontend.controllers.order.made_discount|<br/> made a reduction to the order No. {order_id} equal to:|<br/> сделал скидку на заказ № {order_id} в размере:|<br/> a oferit o reducere în mărime de    la comanda nr. {order_id} 
frontend.controllers.order.not_changed|<br/> the original discount was saved for the new order conditions № |<br/> изначальная скидка сохранена для новых условий заказа № |<br/> reducerea inițială a fost preconizată pentru noile condiții ale comenzii nr.
frontend.controllers.order.change_price|<br/>changed price {prod} from {productPrice} {currencySymbol} to|<br/>изменил цену {prod} с {productPrice} {currencySymbol} на |<br/>a modificat prețul la {prod} din {productPrice} {currencySymbol} în
frontend.controllers.order.change_three|<br/>changed quantity {prod} from {oldQuan} {ed} to|<br/>изменил количество {prod} с {oldQuan} {ed} на |<br/>a modificat cantitatea {prod} din {oldQuan} {ed} în 
frontend.controllers.order.del|<br/>deletedл {prod} from order|<br/>удалил {prod} из заказа|<br/> a șters {prod} din comandă
<small>Вы пытаетесь загрузить каталог объемом больше |<small> You are trying to load a directory with a larger volume|<small>Вы пытаетесь загрузить каталог объемом больше |<small> încercați să descărcați un catalog cu un volum mai mare
<small>Вы пытаетесь загрузить одну или более позиций с одинаковым наименованием! Проверьте файл на наличие дублей! |<small> You are trying to load one or more items with the same name! Check the file for duplicates!|<small>Вы пытаетесь загрузить одну или более позиций с одинаковым наименованием! Проверьте файл на наличие дублей! |<small> Încercați să descărcați unul sau mai mulți itemi cu aceiași denumire! Verificați, dacă fișierul conține duplicate!
frontend.controllers.vendor.error_repeat_six|<small>If this error persists, please inform us|<small>Если ошибка повторяется, пожалуйста, сообщите нам|<small>Dacă eroarea se repetă, vă rugăm să ne anunțați
franchise.controllers.trying_to_upload|<small>You try to load catalogue of the exceeded acceptable size|<small>Вы пытаетесь загрузить каталог объемом больше |<small>încercați să descărcați un catalog cu un volum mai mare
frontend.controllers.|<small>You try to load catalogue, which size exceeds {max} items (new items), get in contact with us and we will help you|<small>Вы пытаетесь загрузить каталог объемом больше {max} позиций (Новых позиций), обратитесь к нам и мы вам поможем|<small>Încercați să descărcați un catalog cu un volum mai mare {max} poziții (poziții noi), contactați-ne și vă vom ajuta
frontend.controllers.vendor.cat_error_nine|<small>You try to load one or more items with the same heading! Please check the file for duplicates!|<small>Вы пытаетесь загрузить одну или более позиций с одинаковым наименованием! Проверьте файл на наличие дублей! |<small> Încercați să descărcați unul sau mai mulți itemi cu aceiași denumire! Verificați, dacă fișierul conține duplicate!
frontend.controllers.vendor.cat_error_twelve|<small>You try to load one or more items with the same name! Please check the file for duplicates!|<small>Вы пытаетесь загрузить один или более позиций с одинаковым названием! Проверьте файл на наличие дублей! |<small> Încercați să descărcați unul sau mai mulți itemi cu aceiași denumire! Verificați, dacă fișierul conține duplicate!
franchise.controllers.same_art|<small>You try to load one or more items with the same order code! Please check the file for the repeated order codes!|<small>Вы пытаетесь загрузить один или более позиций с одинаковым артикулом! Проверьте файл на наличие одинаковых артикулов! |<small> Încercați să descărcați una sau mai multe poziții cu același articol! Verificați, dacă fișierul conține articole cu aceiași denumire!
frontend.views.client.index.history|"<span style=""color:#3F3E3E"">History</span> orders"|"<span style=""color:#3F3E3E"">История</span> заказов"|"<span style=""color:#3F3E3E"">Istoria </span> comenzilor"
frontend.views.client.index.my|"<span style=""color:#3F3E3E"">My</span> suppliers"|"<span style=""color:#3F3E3E"">Мои</span> поставщики"|"<span style=""color:#3F3E3E"">Furnizorii</span> mei"
frontend.controllers.client.wrong_measure_two|<strong>[Multiplicity]</strong> of product in wrong format|<strong>[Кратность]</strong> товара в неверном формате|<Strong> [Multiplicitatea] </ strong> mărfurilor în format greșit
frontend.controllers.client.no_art|<strong>[Order code]</strong> is not specified|<strong>[Артикул]</strong> не указан|<strong>[Nr. comenzii]</strong> nu este specificat
frontend.controllers.client.wrong_price_two|<strong>[Price]</strong> in wrong format!|<strong>[Цена]</strong> в неверном формате!<strong>[Цена]</strong> в неверном формате!|<strong> [Pret] </ strong> în format greșit!
market.views.site.main.city_error|<strong>Ошибка!</strong>Sorry, this city is not supported by MixCart!<br> Please contact service support and we will help you!|<strong>Ошибка!</strong> Извините, данный город не поддерживается системой MixCart!<br> Обратитесь в службу поддержки, и мы обязательно вам поможем!|<strong> Eroare! </ strong> Ne pare rău, în acest oraș nu funcționează sistemul MixCart! <br> Vă rugăm să contactați serviciul de asistență și vă vom acorda ajutor!
Скидка:|A discount:|Скидка:|Reducere:
Порционное|A la carte|Порционное|A la carte
frontend.views.site.never_earlier|A purchase has never been this easy than now|Никогда закупка не была проще, чем сейчас|Acum, procesul de achiziționare e mai simplu ca niciodată!
frontend.views.request.required_field_seven|A required field|Обязательное поле| Câmp obligatoriu
frontend.views.vendor.wrappers_weight|ALL PACKAGES|ВЕС УПАКОВКИ|GREUTATEA AMBALAJULUI
Абхазия|Abkhazia|Абхазия|Abhazia
market.views.layouts.header.about|About|О&nbsp;нас|Despre&nbsp;noi  (istoria companiei)
frontend.views.site.about_two|About Company|О компании|Despre companie
franchise.views.site.more_mid|Above the Medium (not in progress, not critical business process)|Выше среднего (Не работает не критичный бизнес процесс)|Mai sus de mediu (nu este în proces de desfășurare, nu este un proces de afaceri critic)
frontend.views.order.accept|Accept |Принять|Acceptă
common.mail.accept_vendor_invite.confirm|Accept invitation|Принять приглашение|Acceptă invitația
frontend.views.settings.forbidden|Access is prohibited|Доступ запрещен.|Acces interzis.
api.common.views.blocked|Access via this one-time link is denied. You can Log in using your login and password or request your password to your email.|Вход по данной разовой ссылке заблокирован. Вы можете зайти под своим логином и паролем, либо запросить свой пароль на почту|Accesul via acest link unic este refuzat. Vă puteți conecta, folosind numele de utilizator și parola sau puteți solicita parola Dvs. la adresa Dvs. de e-mail.
franchise.controllers.account_not_activated|Account is inactive!|Учетная запись не активирована!|Contul nu este activat!
Бухгалтер|Accountant|Бухгалтер|Contabil
Active|Active|Активен|Activ
market.views.site.search_supp.add|Add|Добавить|Adaugă
frontend.views.client.emp.add|Add Employee|Добавить сотрудника|Adaugă angajat
frontend.views.order.hint|Add a vendor to make your first order!|Добавьте поставщика, чтобы сделать ваш первый заказ!|Adaugă un furnizor pentru a plasa prima comandă!
frontend.views.order.guides.add_all|Add all|Добавить все|Adaugă totul
franchise.views.layouts.add_client|Add customers|Добавить клиента|Adaugă client
frontend.views.vendor.add_employee|Add employee|Добавить сотрудника|Adaugă angajat
frontend.views.client.add.info|"Add information about your suppliers and their products. Press ""Continue"" to complete settings"|"Добавьте информацию о Ваших поставщиках и их продуктов. Нажмите ""Продолжить"" для завершения настроек"|"Adăugați informații despre  furnizorii Dvs. și produsele acestora. Faceți clic pe ""Continuați"" pentru a finaliza setările"
frontend.views.vendor.add_new_goods|Add new products|Добавить новые товары|Adaugă produse noi
frontend.views.vendor.add_on_mix|Add on MixMarket|Добавить на MixMarket|Adaugă pe MixMarket
frontend.views.vendor.add_goods_four|Add products|Добавить продукты|Adaugă produse
frontend.views.vendor.delivery_regions|Add regions of your supply|Добавьте регионы в которые Вы доставляете|Adăugați regiunile de livrare
frontend.views.order.add_check|Add remark to the product|Добавить заметку к товару|Adaugă o notă la produs
franchise.views.organization.add_rest_two|Add restaurant|Добавить ресторан|Adaugă restaurant
market.views.site.supplier.add_vendor|Add supplier|ДОБАВИТЬ ПОСТАВЩИКА|ADAUGĂ FURNIZOR
frontend.views.request.add_vendor|Add supplier?|Добавить поставщика?|Adaugă furnizor?
frontend.views.site.invite_vendors_two|Add suppliers|Подключайте поставщиков|Adaugă furnizori
frontend.views.order.favorites.add_to_basket|Add to cart|Добавить в корзину|Adaugă în coș
frontend.views.order.guides.add_to_templ_two|Add to template|Добавить в шаблон|Adaugă în șablon
frontend.views.client.add.account|Add your suppliers to your account|Добавьте своих поставщиков в Ваш аккаунт|Adăugați furnizorii dvs. în contul dvs.
frontend.controllers.vendor.added|Added|Добавлен|Adăugat
franchise.views.finance.debet|Added on:|Начислено:|S-au adăugat:
franchise.views.anal.rest_stat_two|Added restaurant statistics|Статистика по подключенным ресторанам|Statistici privind restaurantele adăugate
frontend.views.settings.additional_email|Additional email|Дополнительные email|Adrese email adiționale
franchise.views.site.additional_number|Additional phone number|Добавочный номер|Nr. de telefon adițional
market.views.site.supplier.address|Address|Адрес:|Adresa:
market.views.site.supplier.self_address|Address for customer pickup:|Адрес самовывоза:|Adresa recepției individuale:
Адрес:|Address:|Адрес:|Adresa:
Admin||Admin|Admin
frontend.views.site.commercial|Advertisement|Реклама|Publicitate
franchise.views.finance.commercial|Advertisement:|Реклама:|Publicitate:
Афганистан|Afghanistan|Афганистан|Afganistan
Агент|Agent|Агент|Agent
frontend.views.vendor.var8|Aggregate price|Итоговая цена|Prețul final
franchise.views.site.balloons|Air balls|Воздушные шары|Baloane
Албания|Albania|Албания|Albania
Алкоголь|Alcohol|Алкоголь|Alcool
Водоросли|Algae|Водоросли|Alge
Алжир|Algeria|Алжир|Algeria
Все|All|Все|Toate
frontend.views.site.all_together_two|All communications and correspondence in the same place for each separate order. No human mistake factor or data loss. |Все коммуникации и переписки в одном месте, по каждому конкретному заказу. Никакого человеческого фактора и потери данных.|Toate comunicările și corespondența în același loc pentru fiecare comandă separată. Fără factor uman sau pierdere de date.
franchise.views.anal.all_organizations|All companies|Все организации|Toate companiile
frontend.views.vendor.all_empl|All employees |Все сотрудники|Toți angajații
frontend.views.site.orders_processing_two|All ordered are processed online in the same place. You see orders of each purchaser and common scope of delivery for the selected date. |Обработка всех заказов онлайн, в одном месте.  Вы видите заказы каждого конкретного закупщика, а так же общий объем отгрузки на выбранный день.|Procesarea tuturor comenzilor online, într-un singur loc. Vedeți comenzile fiecărui cumpărător, precum și volumul total de livrare pentru ziua selectată.
franchise.views.anal.all_orders_four|All orders|Все заказы|Toate comenzile
frontend.views.order.all_orders_complete|All orders are generated!|Все заказы оформлены!|Toate comenzile sunt procesate!
frontend.views.order.all_goods_three|All orders in the cart will be generated and sent to the appropriate suppliers. Continue?|Все заказы из корзины будут оформлены и направлены соответствующим поставщикам. Продолжить?|Toate comenzile din coș vor fi procesate și trimise furnizorilor corespunzători. Doriți să continuați?
frontend.views.order.favorites.all|All products|Все продукты|Toate produsele
frontend.views.request.all_requests|All requests / my|Все заявки/мои|Toate cererile / mele
frontend.views.request.all_requests_two|All requests / urgent|Все заявки/срочные|Toate cererile/urgente
frontend.views.vendor.all_rests|All restaurant will be disconnected from the this catalogue|Все рестораны будут отвязаны от текущего каталога|Toate restaurantele vor fi deconectate de la acest catalog
market.views.site.rest.all|All restaurants|Все рестораны|Toate restaurantele 
market.views.site.supplier.all|All suppliers|Все поставщики|Toți furnizorii
frontend.views.site.all_together|All suppliers in one place|Все поставщики в одном месте|Toți furnizorii într-un singur loc
franchise.views.site.settings.allow_sms|Allow SMS|Разрешить СМС уведомление|Permite notificările prin SMS
frontend.views.vendor.franch_enter|Allow franchise enter in this Personal Account|Разрешить франчайзи вход в данный Личный Кабинет|Permite intrarea posesorului francizei în acest Cont Personal
миндальное масло|Almond oil|Миндальное масло|Ulei de migdale
Американское Самоа|American Samoa|Американское Самоа|Samoa Americană
Сумма|Amount|Сумма|Suma
frontend.views.site.error|An error has occurred while processing your request|Во время обработки вашего запроса произошла ошибка.|În timpul procesării cererii dumneavoastră a apărut o eroare.
common.mail.request_invite_supp.invitation|An invitation for cooperation in MixCart was sent to your company by|Вашей организации было отправлено приглашение на сотрудничество в системе MixCart от|La adresa Organizației Dvs. a fost trimisă o invitație de a coopera în sistemul MixCart din partea
frontend.views.vendor.anal_four|Analytics|Аналитика|Analitică
frontend.views.client.anal.anal_three|Analytics in one place|Аналитика в одном месте|Analitica într-un singur loc
frontend.views.site.home|"And now you can<a href=""{home_url}"">go to the Home page</a>."|"А пока можно <a href=""{home_url}"">перейти на главную страницу</a>."|"Acum puteți <a href=""{home_url}""> accesa pagina principală </a>."
Андорра|Andorra|Андорра|Andorra
Ангола|Angola|Ангола|Angola
frontend.controllers.vendor.subscr_not|Anonymous|Не подписан|Anonim
frontend.views.site.faq_two|Answers to questions|Ответы на вопросы|Răspunsuri la întrebări
Антарктида|Antarctida|Антарктида|Antarctida 
Антигуа и Барбуда|Antigua & Barbuda|Антигуа и Барбуда|Antigua și Barbuda
Ангилья|Antilia|Ангилья|Antilia
Одежда|Apparel|Одежда|Îmbrăcăminte
Яблоки|Apples|Яблоки|Mere
frontend.views.request.set|Appoint|Назначить|Desemnează
frontend.views.request.set_by_exec_two|Appoint as a performer|Назначить исполнителем|Desemnare executor
frontend.views.request.set_by_exec|Appoint as a performer?|Назначить исполнителем?|Desemnarea executorului?
frontend.views.vendor.set_cat|Appoint catalogue|Назначить каталог|Desemnarea catalogului
frontend.views.vendor.set_for_rest|Appoint for restaurant|Назначить ресторану|Desemnare pentru restaurant
frontend.views.vendor.managers|Appointed managers|Назначенные менеджеры|Manageri desemnați
common.mail.request_set_resp_mail.set_executor|Appointed you as a performer of the request|назначил Вас исполнителем по заявке|Va desemnat executorul cererii
api.modules.v1.modules.mobile.components.notifications.date|Appointment date|"
Дата назначения: "|Data desemnării:
common.models.accepted_for_f_market|Approved for f-market|Одобрено для f-market|Aprobat pentru f-market
из абрикосовых косточек|Apricot stone oil|Из абрикосовых косточек|Din kernelurile de caise
frontend.views.vendor.apr|April|Апрель|Aprilie
Фартуки|Aprons|Фартуки|Șorțuri
frontend.views.site.bad_service|Are you not satisfied with supplier service or product quality? Give your feedback and put rating. |Вас не устраивает сервис поставщика или качество продуктов? Оставьте отзыв, поставьте оценку.|Sunteți nemulțumiți de serviciile furnizorului sau de calitatea produselor? Lăsați un feedback, evaluați calitatea serviciilor prestate
frontend.views.order.sure_del|Are you sure you want to delete all orders form cart?|Вы уверены, что хотите удалить все заказы из корзины?|Sunteți sigur că doriți să ștergeți toate comenzile din coș?
frontend.views.order.sure_two|Are you sure you want to delete order form cart?|Вы уверены, что хотите удалить заказ из корзины?|Sunteți sigur că doriți să ștergeți comanda din coș?
frontend.views.order.sure|Are you sure you want to delete product form the order?|Вы уверены, что хотите удалить товар из заказа?|Sunteți sigur, că doriți să ștergeți marfa din comandă?
franchise.views.organization.shure|Are you sure you want to delete restaurant?|Вы уверены, что хотите удалить ресторан?|Sunteți sigur, că doriți să ștergeți restaurantul?
franchise.views.organization.sure_two|Are you sure you want to delete supplier?|Вы уверены, что хотите удалить поставщика?|Sunteți sigur, că doriți să ștergeți furnizorul?
frontend.views.settings.delete_email|Are you sure you want to delete the email?|Вы уверены что хотите удалить email|Sunteți sigur, că doriți să ștergeți emailul?
frontend.views.order.del_guide|Are you sure you want to delete the template?|Вы уверены, что хотите удалить шаблон?|Sunteți sigur că doriți să ștergeți șablonul?
Аргановое масло|Argan oil|Аргановое масло|Ulei de argan
Аргентина|Argentina|Аргентина|Argentina
Армения|Armenia|Армения|Armenia
frontend.views.order.make_all|Arrange all orders|Оформить все заказы|Plasarea tuturor comenzilor
frontend.views.order.make_order_two|Arrange order|Оформить заказ|Plasarea comenzii
Аруба|Aruba|Аруба|Aruba
Спаржа|Asparagus |Спаржа|Sparanghel
frontend.views.vendor.attention|Attention! |Внимание!|Atenție!
frontend.views.vendor.aug|August|Август|August
Австралия|Australia|Австралия|Australia
Австрия|Austria|Австрия|Austria
frontend.views.site.online_service|Automate purchases|Автоматизируйте закупки|Automatizați achizițiile
frontend.views.site.auto_work|Automatic work with purchasers.<br/>Purchasers, orders, and analytics in the same place. |Автоматизация работы с закупщиками.<br/>Закупщики, заказы и аналитика, в одном месте.|Lucrul automat cu cumpărătorii. <br/> Cumpărători, comenzi și analize în același loc.
frontend.views.vendor.in_stock|Availability|Наличие|Disponibilitate
frontend.views.vendor.yep|Available|Есть|Disponibil
franchise.views.anal.middle_check_two|Average invoice|Средний чек|Factură medie
franchise.views.anal.middle_check|Average invoice for 1 order|Средний чек на 1 заказ|Valoarea medie a facturii per 1 comandă
franchise.views.anal.middle_turnover_two|Average turnover|Средний оборот|Cifra de afaceri medie
franchise.views.anal.middle_turnover|Average turnover per month (for 1 restaurant)|Средний оборот в месяц (на 1 ресторан)|Cifra medie de afaceri lunar (pentru 1 restaurant)
Авокадо|Avocado|Авокадо|Avocado
масло авокадо|Avocado oil|Масло авокадо|Ulei de avocado
Азербайджан|Azerbaijan|Азербайджан|Azerbaidjan
Азербайджанский манат|Azerbaijani manat|Азербайджанский манат|Azerbaidjan manat
franchise.views.organization.bik_two|BIK|БИК:|BIC:
market.views.site.product.short|BRIEFLY ABOUT PRODUCT|КОРОТКО О ТОВАРЕ|PE SCURT DESPRE PRODUS
market.views.site.rest.short_info|BRIEFLY ABOUT RESTAURANT |КОРОТКО О РЕСТОРАНЕ|PE SCURT DESPRE RESTAURANT
market.views.site.supplier.short_vendor|BRIEFLY ABOUT SUPPLIER |КОРОТКО О ПОСТАВЩИКЕ|PE SCURT DESPRE FURNIZOR
frontend.views.layouts.left.navi|BROWSING|НАВИГАЦИЯ|BROWSING
frontend.views.user.default.business|BUSINESS|БИЗНЕС|BUSINESS
market.views.site.search_prods.to_buy|BUY|КУПИТЬ|CUMPĂRĂ
Назад|Back|Назад|Înapoi
franchise.views.site.badges|Badges|Бейджи|Ecusoane
Багамы|Bahamas|Багамы|Bahamas
Бахрейн|Bahrein|Бахрейн|Bahrain
Смеси для выпечки|Baking mixtures|Смеси для выпечки|Amestecuri pentru copt
Бангладеш|Bangladesh|Бангладеш|Bangladesh
franchise.views.organization.bank_two|Bank|Банк:|Banca:
franchise.views.site.roll_up|Banner Roll-up|Баннер Roll-up|Banner Roll-up
Столы банкетные|Banquet tables|Столы банкетные|Mese de banchet
Аксессуары для бара|Bar accessories|Аксессуары для бара|Accesorii pentru cafenea
Барные стойки, станции официанта, ресепшн|Bar counters, waiter stations, reception|Барные стойки, станции официанта, ресепшн|tijghea bar, stație chelneri, reception
Оборудование для бара|Bar equipment|Оборудование для бара|Echipament pentru cafenea
Барбадос|Barbados|Барбадос|Barbados
frontend.views.vendor.base_price|Base price|Базовая цена|Preț de bază
frontend.views.site.auto_buy|Be successful with MixCart.|Будьте успешнее с MixCart.| Obțineți succes cu MixCart.
frontend.views.layouts.main.become|Become a partner|Стать партнером|Deveniți partener
Говядина|Beef|Говядина|Carne de vită
Пиво и сидр|Beer and cider |Пиво и сидр|Bere și cidru
Беларусь|Belarus|Беларусь|Belarus
Белорусский рубль|Belarussian rouble|Белорусский рубль|Rubla belarusă
Бельгия|Belgium|Бельгия|Belgia
Белиз|Belize|Белиз|Belize
franchise.views.site.lower|Below the Medium (remark)|Ниже среднего (замечание)|Mai jos de mediu (notă)
Бенин|Benin|Бенин|Benin
Бермуды|Bermuda|Бермуды|Insulele Bermude
Ягоды|Berries|Ягоды|Fructe de padure
масло чёрного тмина|Black seed oil|Масло чёрного тмина|Ulei de chimen negru
frontend.views.layout.main.blog|Blog|Блог|Blog
Боливия, Многонациональное Государство|Bolivia, Plurinational State|Боливия, Многонациональное Государство|Statul Plurinațional al Boliviei
Бонайре, Саба и Синт-Эстатиус|Bonaire, Saba and Sint-Eustatius|Бонайре, Саба и Синт-Эстатиус|Bonaire, Saba și Sint-Eustatius
Босния и Герцеговина|Bosnia and Herzegovina|Босния и Герцеговина|Bosnia și Herțegovina
Ботсвана|Botswana|Ботсвана|Botswana
Футляры для бутылок|Bottle cases|Футляры для бутылок|Cutii pentru sticle
Бразилия|Brazil|Бразилия|Brazilia
Панировочные сухари|Bread crumbs|Панировочные сухари|Pesmeți mărunțiți
Хлебобулочные изделия|Breads|Хлебобулочные изделия|Produse de panificație
Готовые завтраки и каши|Breakfast cereals and porridges|Готовые завтраки и каши|Cereale și terciuri pentru micul dejun
Пивоваренный солод|Brewers malt|Пивоваренный солод|Malț de bere
franchise.views.organization.short_info_two|Brief data:|Краткая информация:|Informație pe scurt:
Британская территория в Индийском океане|British Indian Ocean Territory|Британская территория в Индийском океане|Teritoriul britanic din Oceanul Indian
Виргинские острова, Британские|British Virgin Islands, British|Виргинские острова, Британские|Insulele Virgine Britanice
Бульоны и концентраты|Broths and concentrated products|Бульоны и концентраты|Supe și produse concentrate
Бруней-Даруссалам|Brunei Darussalam|Бруней-Даруссалам|Brunei Darussalam
common.models.house|Building|Дом|Clădire
Луковичные|Bulb vegetables|Луковичные|Legume bulboase
Болгария|Bulgaria|Болгария|Bulgaria
Буркина-Фасо|Burkina Faso|Буркина-Фасо|Burkina Faso
Бурунди|Burundi|Бурунди|Burundi
franchise.views.site.vis|Business cards|Визитки|Cărți de vizită
frontend.views.user.default.business_list|Business list |Список бизнесов|Lista de afaceri
common.models.business_type|Business type|Тип бизнеса|Tipul activității
Бутан|Butane|Бутан|Butan
Сливочное масло|Butter|Сливочное масло|Unt
Остров Буве|Buve Island|Остров Буве|Insula Bouvet
frontend.views.vendor.change_three|CHANGE|ИЗМЕНИТЬ|MODIFICĂ
frontend.views.request.continue_five|CONTINUE|Продолжить|Continuă
Капуста|Cabbage|Капуста|Varză
Торты и пирожные|Cakes|Торты и пирожные|Torturi și produse de patiserie
Кальмар|Calamari|Кальмар|Calmar
Камбоджа|Cambodia|Камбоджа|Cambodgia
рыжиковое масло|Cameline oil|Рыжиковое масло|Ulei de camelina
Камерун|Cameroon|Камерун|Camerun
frontend.views.site.mix_pay|Can I pay for orders by means of MixCart?|Можно ли оплачивать заказы через MixCart?|Pot efectua plata pentru comenzi prin MixCart?
frontend.views.site.repeat_orders|Can I repeat the previous orders?|Могу ли я повторять прошлые заказы?|Pot repeta comenzile trecute?
frontend.views.site.several_rest|Can I see analytics of my several restaurants?|Могу ли я видеть аналитику нескольких своих ресторанов?|Pot vedea analizele mai multor restaurante ale mele?
frontend.views.site.price_anal|Can I see analytics of prices and the whole market of suppliers?|Могу ли я видеть аналитику всех цен, всего рынка поставщиков?|Pot vedea analiza tuturor prețurilor, întregii piețe a furnizorilor?
frontend.views.site.may_not_pay|Can I show part of my products in the Market place?|Могу ли я не размещать свои продукты на маркет плейсе?|Pot să nu plasez produsele în Market Place?
frontend.views.site.several_buyers|Can one restaurant have several purchasers?|Несколько закупщиков в одном ресторане?|Poate un restaurant avea mai mulți clienți?
frontend.views.site.other_regions|Can purchasers from other regions of RF see my products?|Могут ли мои продукты видеть закупщики из других регионов РФ?|Produsele mele pot fi văzute de cumpărătorii din alte regiuni ale Federației Ruse?
Канада|Canada|Канада|Canada
frontend.views.request.cancel_five|Cancel|Отмена|Anulare
frontend.views.order.cancel_order|Cancel order|Отменить заказ|Anulare comandă
frontend.views.request.off|Cancel placement |Снять с размещения|Ștergeți din plasare
frontend.views.order.canceled_two|Canceled|Отменен|Anulat
frontend.views.vendor.canc_by_cust|Canceled by Customer|Отменен заказчиком|Anulat de către client
frontend.views.vendor.canc_by_vendor|Canceled by Supplier|Отменен поставщиком|Anulat de către furnizor
frontend.views.order.cancel_eight|Cancellation… |Отменяем...|Anulăm...
Конфеты|Candies|Конфеты|Bomboane
Свечи|Candles|Свечи|Lumânări
frontend.controllers.client.cant_del|Cannot delete the user!|Не удалось удалить пользователя!|Utilizatorul nu poate fi șters!
frontend.controllers.vendor.delete_yourself|Can’t we back off from deleting ourselves?|Может воздержимся от удаления себя?|Poate ne abținem de la înlăturarea contului personal?
Кабо-Верде|Cape Verde|Кабо-Верде|Capul Verde
Морковь|Carrot|Морковь|Morcov
market.views.layouts.header.basket|Cart|КОРЗИНА|Coș
frontend.views.order.clean_basket|Cart cleaning|Очистка корзины|Golirea coșului
frontend.views.order.basket_empty|Cart is clean!|Корзина очищена!|Coș golit!
frontend.views.request.cash_two|Cash payment|Наличный расчет|Achitare cash
market.views.site.supplier.catalog|Catalogue|КАТАЛОГ|CATALOG
frontend.views.vendor.edit_cat_four|Catalogue Editing|Редактирование каталога|Redactare catalog
franchise.views.catalog.catalog_no|Catalogue No.|Каталог №|Catalog nr.
frontend.views.vendor.cat_price|Catalogue Price|Цена каталога|Preț catalog
frontend.views.vendor.curr_changed|Catalogue currency was changed|Валюта каталога изменена!|Valuta catalogului modificată!
frontend.views.vendor.currency_two|Catalogue currency:|Валюта каталога:|Valuta catalogului:
